P1,EloP1,HardRawP1,ClayRawP1,GrassRawP1,hEloP1,cEloP1,gEloP1
Thiem D.,1446.5,1424.5,1459.5,1385,1435.5,1453,1415.8
Choinski J.,1446.5,1409.3,1387,1208.3,1427.9,1416.8,1327.4
Celikbilek A.,1446,1384.6,1172.6,1457.5,1415.3,1309.3,1451.8
Miedler L.,1444.4,1368.2,1364.5,1339,1406.3,1404.5,1391.7
Vavassori A.,1443.2,1311.1,1425.1,0,1377.2,1434.2,1421.6
Ward J.,1442.1,1333.2,1330.1,1460.7,1387.7,1386.1,1451.4
Sakharov G.,1440.6,1463.4,1222.2,1313.7,1452,1331.4,1377.1
Nys H.,1438.5,1288.4,1403.1,0,1363.4,1420.8,1419.2
Galovic V.,1436.9,1426,1348.1,1461.4,1431.5,1392.5,1449.2
Basic M.,1436.6,1395.4,1378.6,1297.3,1416,1407.6,1366.9
Martinez P.,1436.3,1395.2,1389.5,1377.1,1415.7,1412.9,1406.7
Zhang Z.,1435.9,1419.6,1289.7,1333.5,1427.8,1362.8,1384.7
Haerteis J.,1435.4,1316.4,1403.7,1361.3,1375.9,1419.6,1398.4
Halys Q.,1434.1,1335.9,1526.7,1403.2,1385,1480.4,1418.6
Krueger M.,1431.9,1398.1,1263.7,1280.6,1415,1347.8,1356.3
Arevalo M.,1429.8,1329.4,1494.4,1269.3,1379.6,1462.1,1349.5
Baldi F.,1429.6,1317,1439.2,1314.3,1373.3,1434.4,1371.9
Viola M.,1429.2,1402.8,1255.5,1367.5,1416,1342.3,1398.3
Arnaboldi A.,1429.1,1316.7,1391.3,1502.8,1372.9,1410.2,1465.9
Tseng C.H.,1426.9,1381.6,1388.4,1426.2,1404.3,1407.7,1426.6
Tabilo A.,1426.4,1312.1,1441.6,0,1369.3,1434,1413.2
Pellegrino A.,1426.1,1302.8,1353.3,0,1364.5,1389.7,1413.1
Kozlov S.,1425.6,1372,1373,1430.8,1398.8,1399.3,1428.2
Aragone J.,1424.1,1390,1066.8,1391.5,1407.1,1245.4,1407.8
Nedovyesov A.,1423.4,1366,1439.4,1421.9,1394.7,1431.4,1422.7
Karatsev A.,1422.4,1301.6,1468.6,1321.3,1362,1445.5,1371.8
Serdarusic N.,1422.3,1212.3,1377.4,1342.5,1317.3,1399.8,1382.4
Hernandez J.,1417,1289.9,1412.5,1397,1353.5,1414.8,1407
Nguyen D.,1415.9,1370.3,1211.7,1375.7,1393.1,1313.8,1395.8
Zopp J.,1415.5,1412,1419.1,1316.9,1413.7,1417.3,1366.2
Zeppieri G.,1415.4,1228.2,1370.5,0,1321.8,1393,1407.7
Bangoura S.,1415.4,1375,1199.5,1351.9,1395.2,1307.4,1383.6
Sarmiento R.,1414.9,1366.3,0,0,1390.6,1317.5,1407.5
Quinzi G.,1414.9,1282,1380.3,1331.4,1348.5,1397.6,1373.2
Bonadio R.,1411.2,1229.4,1399.6,0,1320.3,1405.4,1405.6
Luz O.,1409.5,1140.6,1403.1,0,1275,1406.3,1404.7
Wu D.,1407.3,1346.4,1285.1,1271.3,1376.9,1346.2,1339.3
Sels J.,1406.9,1268.1,1442.3,1356.7,1337.5,1424.6,1381.8
Brancaccio R.,1404.6,1323.4,1392.9,0,1364,1398.7,1402.3
King K.,1403.5,1333.3,1229.6,1377.4,1368.4,1316.6,1390.5
Heliovaara H.,1401.4,1383.9,1184.7,1388.8,1392.6,1293,1395.1
Pavlasek A.,1399.4,1357.4,1359.8,1450,1378.4,1379.6,1424.7
Grenier H.,1397.6,1365.7,1151.2,0,1381.7,1274.4,1398.8
De Schepper K.,1391,1441.1,1265.6,1484.7,1416.1,1328.3,1437.9
Gimeno-Traver D.,1390.2,1241.1,1368.9,1222.8,1315.7,1379.6,1306.5
Huesler M.A.,1389.2,1352.6,1287.6,1410.2,1370.9,1338.4,1399.7
Safiullin R.,1388.1,1381.3,1144.3,0,1384.7,1266.2,1394.1
Saville L.,1383.9,1354.1,1119.6,1451.7,1369,1251.8,1417.8
Grigelis L.,1383.4,1318.2,1311,1356.6,1350.8,1347.2,1370
Guinard M.,1383.1,1274.7,1417.6,0,1328.9,1400.3,1391.5
Safranek V.,1382.2,1064.6,1426.9,1316.7,1223.4,1404.5,1349.5
Robert S.,1381,1333.6,1398.1,1552.3,1357.3,1389.6,1466.7
Torebko P.,1381,1225.1,1361.5,1353.2,1303.1,1371.3,1367.1
Myneni S.,1380.9,1333.1,1338.2,1320.7,1357,1359.5,1350.8
Olivo R.,1380.5,1299.3,1369.6,1265.7,1339.9,1375.1,1323.1
Kotov P.,1378.8,1362.7,1325.4,0,1370.7,1352.1,1389.4
Ignatik U.,1373.8,1371.7,1284.6,1303.6,1372.7,1329.2,1338.7
Redlicki M.,1371.7,1328.4,1153.9,0,1350.1,1262.8,1385.9
Escoffier A.,1370.6,1364.1,1111.5,0,1367.4,1241.1,1385.3
Heller P.,1369.5,1170.4,1331.6,0,1270,1350.5,1384.7
Sakamoto P.,1368.8,1223.8,1335.1,0,1296.3,1351.9,1384.4
Bai Y.,1368.7,1311.1,1310.9,1349.3,1339.9,1339.8,1359
